id,recipeName,totalTimeInSeconds,course,cuisine,ingredients,link
46,Broccoli with Lemon and Garlic,2400,Side Dishes,American,"Broccoli,Lemon,Garlic,Cooking Oil,Salt,Pepper",https://www.google.com/search?q=Broccoli+with+Lemon+and+Garlic+site:yummly.com
47,Limeade,1500,Beverages,American,"Water,Sugar,Lime,Lime,Water",https://www.google.com/search?q=Limeade+site:yummly.com
48,Peppered Halibut Steaks,1800,Main Dishes,American,"Pepper,Lemon,Cooking Oil,Fish,Salt,Cooking Oil,Lemon",https://www.google.com/search?q=Peppered+Halibut+Steaks+site:yummly.com
49,Frozen Lemonade,1800,Beverages,American,"Lemon,Sugar,Water,Lemon,Ice",https://www.google.com/search?q=Frozen+Lemonade+site:yummly.com
50,Crisp Celery Salad,600,Salads,American,"Lemon,Cooking Oil,Mustard,Salt,Pepper,Celery,Celery",https://www.google.com/search?q=Crisp+Celery+Salad+site:yummly.com
51,Carrot Cake Pancakes,1800,Breakfast and Brunch,American,"Water,Carrot,Cinnamon,Nutmeg,Clove ",https://www.google.com/search?q=Carrot+Cake+Pancakes+site:yummly.com
52,Wild Rice with Mushrooms,1800,Side Dishes,American,"Rice,Butter,Onion,Mushroom,Salt,Wine,Parsley",https://www.google.com/search?q=Wild+Rice+with+Mushrooms+site:yummly.com
53,Rosemary Potatoes,1500,Side Dishes,American,"Butter,Garlic,Rosemary,Salt,Pepper,Potato",https://www.google.com/search?q=Rosemary+Potatoes+site:yummly.com
54,Coffee Frosting,600,Desserts,American,"Coffee,Butter,Sugar,Vanilla,Salt",https://www.google.com/search?q=Coffee+Frosting+site:yummly.com
55,Pink Lemonade,1800,Beverages,American,"Lemon,Lime",https://www.google.com/search?q=Pink+Lemonade+site:yummly.com
56,Chiptole Tomato Soup,3900,Soups,American,"Tomato,Chili,Onion,Pepper,Salt,Milk,Bread,Cheese",https://www.google.com/search?q=Chiptole+Tomato+Soup+site:yummly.com
57,Limeade,4800,Beverages,American,"Lime,Sugar",https://www.google.com/search?q=Limeade+site:yummly.com
58,Raspberry Vinaigrette,600,Salads,American,"Cooking Oil,Vinegar,Sugar,Mustard",https://www.google.com/search?q=Raspberry+Vinaigrette+site:yummly.com
59,Roasted Carrots with Honey,2100,Side Dishes,American,"Carrot,Cooking Oil,Salt,Pepper,Honey",https://www.google.com/search?q=Roasted+Carrots+with+Honey+site:yummly.com
60,Boiled Lobster,2400,Main Dishes,American,"Water,Salt,Lobster,Butter",https://www.google.com/search?q=Boiled+Lobster+site:yummly.com
61,Raspberry Coulis,2100,Condiments and Sauces,American,"Sugar,Raspberry",https://www.google.com/search?q=Raspberry+Coulis+site:yummly.com
62,Maple Butter,600,Breakfast and Brunch,American,"Butter,Sugar,Vanilla,Syrup",https://www.google.com/search?q=Maple+Butter+site:yummly.com
63,Horseradish Chive Bread,2100,Breads,American,"Butter,Horseradish,Chive,Salt,Bread",https://www.google.com/search?q=Horseradish+Chive+Bread+site:yummly.com
64,Baked Veggie Chips,3600,Lunch and Snacks,American,"Parsnip,Sweet Potato,Celery,Beet ,Salt,Cooking Oil",https://www.google.com/search?q=Baked+Veggie+Chips+site:yummly.com
65,Simple Chicken Noodle Soup,3300,Soups,American,"Chicken,Carrot,Parsnip,Onion,Salt,Noodles",https://www.google.com/search?q=Simple+Chicken+Noodle+Soup+site:yummly.com
66,Tangy Grilled Pork Tenderloin,16800,Main Dishes,American,"Pork,Honey,Mustard,Chili,Salt",https://www.google.com/search?q=Tangy+Grilled+Pork+Tenderloin+site:yummly.com
67,Glazed Carrots with Pecans,1800,Side Dishes,American,"Cooking Oil,Carrot,Ginger,Sugar,Pecans",https://www.google.com/search?q=Glazed+Carrots+with+Pecans+site:yummly.com
68,Roasted Tomato Sauce,3300,Condiments and Sauces,American,"Cherry,Onion,Garlic,Cooking Oil,Basil",https://www.google.com/search?q=Roasted+Tomato+Sauce+site:yummly.com
69,Roasted Quartered Chicken and Shallots,3300,Main Dishes,American,"Butter,Chicken,Pepper,Salt,Onion",https://www.google.com/search?q=Roasted+Quartered+Chicken+and+Shallots+site:yummly.com
70,Brown Sugar Buttercream,1500,Desserts,American,"Egg,Sugar,Salt,Butter",https://www.google.com/search?q=Brown+Sugar+Buttercream+site:yummly.com
71,Green Beans,1500,Side Dishes,American,"Pepper,Salt,Beans,Butter",https://www.google.com/search?q=Green+Beans+site:yummly.com
72,Best BBQ Chicken Ever,3000,Main Dishes,American,"Butter,Ketchup,Lemon,Soya sauce,Pepper,Chili,Chicken,Cooking Oil",https://www.google.com/search?q=Best+BBQ+Chicken+Ever+site:yummly.com
73,Simply Swordfish,1500,Main Dishes,American,"Fish,Lemon,Pepper,Dill",https://www.google.com/search?q=Simply+Swordfish+site:yummly.com
74,Orange Vinaigrette,1500,Salads,American,"Orange,Salt,Pepper,Orange,Mustard,Cooking Oil",https://www.google.com/search?q=Orange+Vinaigrette+site:yummly.com
75,Roasted Garlic Mashed Potatoes,4500,Side Dishes,American,"Garlic,Cooking Oil,Salt,Potato,Butter,Milk,Chive",https://www.google.com/search?q=Roasted+Garlic+Mashed+Potatoes+site:yummly.com
76,Barbecue Rub,1200,Condiments and Sauces,American,"Chili,Paprika,Thyme,Salt,Garlic,Pepper,Cumin,Pepper",https://www.google.com/search?q=Barbecue+Rub+site:yummly.com
77,Peanut Butter Frosting,1200,Desserts,American,"Sugar,Butter,Cream,Vanilla,Peanut Butter,Sugar",https://www.google.com/search?q=Peanut+Butter+Frosting+site:yummly.com
78,Browned Butter Mashed Potatoes,2700,Side Dishes,American,"Potato,Butter,Milk,Salt,Pepper",https://www.google.com/search?q=Browned+Butter+Mashed+Potatoes+site:yummly.com
79,Roasted Garlic Mashed Potatoes,2100,Side Dishes,American,"Potato,Parmesan Cheese,Garlic,Parsley,Salt,Pepper",https://www.google.com/search?q=Roasted+Garlic+Mashed+Potatoes+site:yummly.com
80,Southern Skillet Corn,3600,Side Dishes,American,"Corn,Flour,Sugar,Salt,Pepper,Water,Butter",https://www.google.com/search?q=Southern+Skillet+Corn+site:yummly.com
81,Vanilla Buttercream Frosting,1200,Desserts,American,"Butter,Vanilla,Sugar,Milk,Cream Cheese ",https://www.google.com/search?q=Vanilla+Buttercream+Frosting+site:yummly.com
82,Strawberry Syrup,1200,Condiments and Sauces,American,"Sugar,Water,Strawberry",https://www.google.com/search?q=Strawberry+Syrup+site:yummly.com
83,Easy Braised Brisket,14400,Main Dishes,American,"Beef,Onion,Oregano,Olive,Tomato",https://www.google.com/search?q=Easy+Braised+Brisket+site:yummly.com
84,Chicken with Olives,4200,Main Dishes,American,"Butter,Cooking Oil,Chicken,Onion,Garlic,Sweet Pepper,Tomato,White Wine,Salt,Pepper,Cream,Olive,Pasta",https://www.google.com/search?q=Chicken+with+Olives+site:yummly.com
85,Charleston Breakfast Casserole,4800,Breakfast and Brunch,American,"Bacon,Butter,Bread,Cheddar Cheese,Egg,Milk,Sweet Pepper,Mustard,Pepper,Salt",https://www.google.com/search?q=Charleston+Breakfast+Casserole+site:yummly.com
86,Oven Roasted Potato Wedges,2400,Side Dishes,American,"Potato,Cooking Oil,Paprika,Salt",https://www.google.com/search?q=Oven+Roasted+Potato+Wedges+site:yummly.com
87,Fresh Raspberry Lemonade,1560,Beverages,American,"Sugar,Water,Raspberry,Orange,Lemon,Water",https://www.google.com/search?q=Fresh+Raspberry+Lemonade+site:yummly.com
88,Baked Sweet Potatoes,3900,Side Dishes,American,"Sweet Potato,Butter,Salt,Pepper",https://www.google.com/search?q=Baked+Sweet+Potatoes+site:yummly.com
89,Raspberry Buttercream Frosting,1500,Desserts,American,"Butter,Raspberry,Vanilla,Salt,Sugar",https://www.google.com/search?q=Raspberry+Buttercream+Frosting+site:yummly.com
90,Sauteed Broccolini with Garlic,1500,Side Dishes,American,"Broccoli,Cooking Oil,Garlic,Salt,Pepper",https://www.google.com/search?q=Sauteed+Broccolini+with+Garlic+site:yummly.com
91,Citrus Aioli,900,Condiments and Sauces,American,"Garlic,Salt,Mayonnaise,Mustard,Orange,Lemon,Lemon,Orange",https://www.google.com/search?q=Citrus+Aioli+site:yummly.com
92,Baked Garlic Lemon Tilapia,900,Main Dishes,American,"Fish,Garlic,Butter,Lemon,Parsley,Pepper,Salt,Cooking Oil",https://www.google.com/search?q=Baked+Garlic+Lemon+Tilapia+site:yummly.com
93,Ginger Limeade,2400,Beverages,American,"Water,Sugar,Ginger,Lime,Beer",https://www.google.com/search?q=Ginger+Limeade+site:yummly.com
94,Buffalo Chicken Sauce,2400,Condiments and Sauces,American,"Butter,Chili",https://www.google.com/search?q=Buffalo+Chicken+Sauce+site:yummly.com
95,Two Bean Pesto Dip,1200,Appetizers,American,"Beans,Beans,Basil,Cheddar Cheese,Cashew nut,Cooking oil,Cooking Oil,Salt,Pepper,Garlic",https://www.google.com/search?q=Two+Bean+Pesto+Dip+site:yummly.com
96,Glazed Pearl Onions,1800,Side Dishes,American,"Cooking Oil,Onion,Sugar,Salt,Pepper,Thyme",https://www.google.com/search?q=Glazed+Pearl+Onions+site:yummly.com
97,Molten Chocolate Cakes,2400,Desserts,American,"Chocolate,Butter,Sugar,Egg,Vanilla,Flour,Salt",https://www.google.com/search?q=Molten+Chocolate+Cakes+site:yummly.com
98,Smoked Paprika Fingerling Potatoes,2400,Side Dishes,American,"Potato,Cooking Oil,Salt,Paprika",https://www.google.com/search?q=Smoked+Paprika+Fingerling+Potatoes+site:yummly.com
99,Slow Cooker Garlic Mashed Potatoes,15000,Side Dishes,American,"Potato,Water,Butter,Salt,Garlic,Pepper,Milk",https://www.google.com/search?q=Slow+Cooker+Garlic+Mashed+Potatoes+site:yummly.com
100,Roasted Broccoli,1800,Side Dishes,American,"Broccoli,Cooking Oil,Salt",https://www.google.com/search?q=Roasted+Broccoli+site:yummly.com
101,Classic Peach Pie,6300,Desserts,American,"Sourdough,peaches,Sugar,Starch,Lime,Egg",https://www.google.com/search?q=Classic+Peach+Pie+site:yummly.com
102,Spinach with Corn and Tomatoes,600,Side Dishes,American,"Cooking Oil,Corn,Spinach,Tomato,Salt,Pepper",https://www.google.com/search?q=Spinach+with+Corn+and+Tomatoes+site:yummly.com
103,Beef Stroganoff,2700,Main Dishes,American,"Cooking Oil,Butter,Onion,Mushroom,Beef,Parsley,Cream",https://www.google.com/search?q=Beef+Stroganoff+site:yummly.com
104,Carrot Soup,5100,Soups,American,"Carrot,Chicken Stock,Garlic,Dill,Butter,Salt",https://www.google.com/search?q=Carrot+Soup+site:yummly.com
105,Seared Tenderloin,900,Main Dishes,American,"Cooking Oil,Beef,Salt,Pepper",https://www.google.com/search?q=Seared+Tenderloin+site:yummly.com
106,Chili Lime Shrimp Kabobs,1800,Main Dishes,American,"Lime,Cooking Oil,Cinnamon,Salt,Pepper,Onion,Chili,Pineapple,Pepper,Honey",https://www.google.com/search?q=Chili+Lime+Shrimp+Kabobs+site:yummly.com
107,Vanilla Cream,4200,Desserts,American,"Cream,Vanilla,Sugar",https://www.google.com/search?q=Vanilla+Cream+site:yummly.com
108,Brown Cow Float,900,Beverages,American,"Chocolate,Vanilla,Beer,Cream,Chocolate",https://www.google.com/search?q=Brown+Cow+Float+site:yummly.com
109,Grilled Brie Sandwiches with Mustard and Chives,900,Lunch and Snacks,American,"Bread,Butter,Cheese,Mustard,Chive",https://www.google.com/search?q=Grilled+Brie+Sandwiches+with+Mustard+and+Chives+site:yummly.com
110,Creamy Mashed Potatoes,2100,Side Dishes,American,"Potato,Salt,Butter,Cream,Cream,Nutmeg,Pepper",https://www.google.com/search?q=Creamy+Mashed+Potatoes+site:yummly.com
111,Baked New Potatoes,3300,Side Dishes,American,"Potato,Cooking Oil,Salt,Pepper,Rosemary",https://www.google.com/search?q=Baked+New+Potatoes+site:yummly.com
112,Red Onion Chutney,8400,Condiments and Sauces,American,"Cooking Oil,Onion,Onion,Onion,Salt,Pepper,Chili,Vinegar,Vinegar,Sugar,Cinnamon,Bay",https://www.google.com/search?q=Red+Onion+Chutney+site:yummly.com
113,Scrambled Eggs with Bacon and Avocado,900,Breakfast and Brunch,American,"Bacon,Egg,Salt,Pepper,Avocado,Bread",https://www.google.com/search?q=Scrambled+Eggs+with+Bacon+and+Avocado+site:yummly.com
114,Roasted Eggplant Spread,3900,Appetizers,American,"Eggplant,Garlic,Lemon,Cooking Oil",https://www.google.com/search?q=Roasted+Eggplant+Spread+site:yummly.com
115,Strawberry Lemonade,2700,Beverages,American,"Water,Sugar,Lemon,Lemon,Strawberry,Water,Ice,Mint",https://www.google.com/search?q=Strawberry+Lemonade+site:yummly.com
116,Cranberry Lemonade Punch,4800,Beverages,American,"Water,Sugar,Lemon,Cranberry",https://www.google.com/search?q=Cranberry+Lemonade+Punch+site:yummly.com
117,Shrimp Toast,2700,Appetizers,American,"Bread,Shrimp,Pork,Starch,Onion,Egg,Ginger,Salt,Pepper,Parsley,Cooking Oil,Chili",https://www.google.com/search?q=Shrimp+Toast+site:yummly.com
118,Horseradish Sauce,1200,Condiments and Sauces,American,"Cream,Cream,Chive,Horseradish,Salt",https://www.google.com/search?q=Horseradish+Sauce+site:yummly.com
119,Rosemary Roasted Potatoes,3600,Side Dishes,American,"Chicken Stock,Onion,Cooking Oil,Garlic,Rosemary,Pepper,Potato",https://www.google.com/search?q=Rosemary+Roasted+Potatoes+site:yummly.com
120,Avocado Ice Cream,4500,Desserts,American,"Avocado,Sugar,Cream,Cream,Lime,Salt",https://www.google.com/search?q=Avocado+Ice+Cream+site:yummly.com
121,Simply Roasted Pork,4800,Main Dishes,American,"Apricot,Salt,Oregano,Garlic,Pepper,Pork,Cooking Oil",https://www.google.com/search?q=Simply+Roasted+Pork+site:yummly.com
122,Chocolate Buttercream,900,Desserts,American,"Butter,Sugar,Vanilla,Chocolate",https://www.google.com/search?q=Chocolate+Buttercream+site:yummly.com
123,Southern Peach Cobbler,4500,Desserts,Southern & Soul Food,"Butter,Sugar,Flour,Baking powder,Salt,Milk,peaches",https://www.google.com/search?q=Southern+Peach+Cobbler+site:yummly.com
124,Roasted Sesame Asparagus,1200,Side Dishes,American,"Asparagus,Cooking Oil,Salt,Sesame",https://www.google.com/search?q=Roasted+Sesame+Asparagus+site:yummly.com
125,Sesame Beef,1200,Main Dishes,Asian,"Cooking Oil,Garlic,Beef,Sweet Pepper,Pepper,Soya sauce,Sugar,Water,Onion,Sesame,Starch,Salt,Soya sauce",https://www.google.com/search?q=Sesame+Beef+site:yummly.com
126,Savory Vegetable Stir Fry,1800,Main Dishes,Asian,"Noodles,Onion,Cabbage,Mushroom,Sweet Pepper,Broccoli,Garlic,Ginger,Soya sauce,Cooking Oil,Cooking Oil,Vinegar,Starch,Peanut Butter,Chili",https://www.google.com/search?q=Savory+Vegetable+Stir+Fry+site:yummly.com
127,Shrimp Fried Rice,2100,Main Dishes,Asian,"Shrimp,Rice,Cooking Oil,Onion,Carrot,Peas,Soya sauce,Egg,Onion,Sesame,Salt,Pepper",https://www.google.com/search?q=Shrimp+Fried+Rice+site:yummly.com
128,Asian Meatball Recipe With Noodles,3300,Main Dishes,Asian,"Beef,Onion,Egg,Garlic,Ginger,Salt,Pepper,Chili,Soya sauce,Flour,Rice,Cooking Oil,Carrot,Onion,Beef stock",https://www.google.com/search?q=Asian+Meatball+Recipe+With+Noodles+site:yummly.com
129,Chicken Curry with Coconut MIlk,3600,Main Dishes,Asian,"Cooking Oil,Curry,Curry,Ginger,Chicken,Potato,Carrot,Coconut",https://www.google.com/search?q=Chicken+Curry+with+Coconut+MIlk+site:yummly.com
130,Saucy Sesame Teriyaki Chicken,15000,Main Dishes,Asian,"Chicken,Garlic,Onion,Honey,Soya sauce,Vinegar,Pepper,Water,Starch,Sesame",https://www.google.com/search?q=Saucy+Sesame+Teriyaki+Chicken+site:yummly.com
131,Braised Chicken with Ginger and Sesame Oil,600,Main Dishes,Asian,"Cooking Oil,Ginger,Chicken,Soya sauce,Water,Salt",https://www.google.com/search?q=Braised+Chicken+with+Ginger+and+Sesame+Oil+site:yummly.com
132,Chongqing Spicy Chicken,3000,Main Dishes,Asian,"Chicken,Pepper,Chili,Chili,Onion,Onion,Ginger,Garlic,Salt,Wine,Soya sauce,Cooking Oil,Sugar",https://www.google.com/search?q=Chongqing+Spicy+Chicken+site:yummly.com
133,ASIAN HONEY SOY CHICKEN,1800,Main Dishes,Asian,"Chicken,Cooking Oil,Salt,Pepper,Honey,Soya sauce,Water,Vinegar,Cooking Oil,Ginger,Pepper,Rice,Scallion",https://www.google.com/search?q=ASIAN+HONEY+SOY+CHICKEN+site:yummly.com
134,Gluten Free Beef and Broccoli Stir Fry,4500,Main Dishes,Asian,"Beef,Water,Soya sauce,Garlic,Pepper,Cooking Oil,Broccoli,Onion,Carrot,Water,Sugar,Ginger,Cooking Oil,Chili,Starch,Sesame",https://www.google.com/search?q=Gluten+Free+Beef+and+Broccoli+Stir+Fry+site:yummly.com
135,Orange Ginger Tofu,1800,Main Dishes,Asian,"Tofu,Starch,Cooking Oil,Rice,Orange,Ginger,Garlic,Orange,Soya sauce,Cooking Oil,Onion,Sesame",https://www.google.com/search?q=Orange+Ginger+Tofu+site:yummly.com
136,Kung Pao Chicken,3600,Main Dishes,Asian,"Chicken,Soya sauce,Cooking Oil,Starch,Chili,Vinegar,Sugar,Onion,Garlic,Nuts,Peanut",https://www.google.com/search?q=Kung+Pao+Chicken+site:yummly.com
137,Baked Teriyaki Chicken,5100,Main Dishes,Asian,"Starch,Water,Sugar,Soya sauce,Apple Cider Vinegar,Garlic,Ginger,Pepper,Chicken",https://www.google.com/search?q=Baked+Teriyaki+Chicken+site:yummly.com
138,Asian Flank Steak Skewers,5400,Main Dishes,Asian,"Beef,Soya sauce,Garlic,Ginger,Cooking Oil,Lime",https://www.google.com/search?q=Asian+Flank+Steak+Skewers+site:yummly.com
139,Homemade Udon Noodles and Shrimp Dinner,2100,Main Dishes,Asian,"Salt,Water,Flour,Carrot,Onion,Soya sauce,Garlic,Shrimp",https://www.google.com/search?q=Homemade+Udon+Noodles+and+Shrimp+Dinner+site:yummly.com
140,Spicy Thai Noodles,1500,Main Dishes,Asian,"Noodles,Cooking Oil,Chicken,Pepper,Green zucchini,Mushroom,Garlic,Sugar,Soya sauce,Chili,Ginger,Coriander,Onion,Peanut",https://www.google.com/search?q=Spicy+Thai+Noodles+site:yummly.com
141,How To Make Chinese Pepper Steak,2700,Main Dishes,Chinese,"Beef,Soya sauce,Cherry,Sugar,Water,Starch,Cooking Oil,Ginger,Scallion,Onion,Sweet Pepper,Garlic,Mushroom",https://www.google.com/search?q=How+To+Make+Chinese+Pepper+Steak+site:yummly.com
142,Asian Salad Dressing,900,Salads,Asian,"Mayonnaise,Vinegar,Sugar,Soya sauce,Cooking Oil,Ginger,Garlic",https://www.google.com/search?q=Asian+Salad+Dressing+site:yummly.com
143,Everyday Asian Dressing,300,Salads,Asian,"Vinegar,Soya sauce,Honey,Cooking Oil,Sugar,Sesame",https://www.google.com/search?q=Everyday+Asian+Dressing+site:yummly.com
144,Thai Coconut Curry,1500,Main Dishes,Asian,"Fish,Cooking Oil,Salt,Pepper,Garlic,Ginger,Onion,Cooking Oil,Scallion,Bok choy,Broth,Coconut,Curry",https://www.google.com/search?q=Thai+Coconut+Curry+site:yummly.com
145,Sticky Sweet Chili Chicken Wings,2700,Appetizers,Asian,"Cooking Oil,Starch,Salt,Chicken,Vinegar,Water,Sugar,Garlic,Chili",https://www.google.com/search?q=Sticky+Sweet+Chili+Chicken+Wings+site:yummly.com
