Ingredient1,Ingredient2,Number of Shared Flavor Compounds
Agave,Mate,8
Agave,Corn Oil,8
Agave,Citrus Peel Oil,8
Agave,Meat,8
Agave,Popcorn,7
Agave,Yogurt,7
Agave,Squid,7
Agave,Soya sauce,7
Agave,Brandy,6
Agave,Sake,6
Agave,Crayfish,6
Agave,Oyster,6
Agave,Lavendar,6
Agave,Rose,6
Agave,Drumstick Leaf,6
Agave,Hot Chocolate,6
Agave,Tofu,6
Agave,Soy Milk,6
Agave,Black Tea,5
Agave,Eucalyptus,5
Agave,Bitter Orange,5
Agave,Truffle,5
Agave,Liqourice,5
Agave,Basmati Rice,5
Agave,Spirit,5
Agave,Miso,5
Agave,Soy Yogurt,5
Agave,Gin,4
Agave,Sweetcorn,4
Agave,Raisin,4
Agave,Turkey,4
Agave,Mace,4
Agave,Green Tea,3
Agave,Mentha Oil,3
Agave,Orange Oil,3
Agave,Lobster,3
Agave,Codfish,3
Agave,Jasmine,3
Agave,Currant,3
Agave,White Currant,3
Agave,Plumcot,3
Agave,Myrtle,3
Agave,Turkey Berry,3
Agave,White Pepper,3
Agave,Bison,3
Agave,Wild Boar,3
Agave,Mallard Duck,3
Agave,Greylag Goose,3
Agave,European Rabbit,3
Agave,Sardine,3
Agave,Deer,3
Agave,Rabbit,3
Agave,Quail,3
Agave,Cream,3
Agave,Sugar,3
Agave,Chocolate,3
Agave,Tortilla Chip,3
Agave,Bulgur,3
Agave,Semolina,3
Agave,Ketchup,3
Agave,Cooking Oil,3
Agave,Focaccia,3
Agave,Corn Grits,3
Agave,Buttermilk,2
Agave,Lemon Peel Oil,2
Agave,Lime Peel Oil,2
Agave,Mandarin Orange Peel Oil,2
Agave,Red Sage,2
Agave,Tangerine,2
Agave,Nuts,2
Agave,Peanut Oil,2
Agave,Cherry Pepper,2
Agave,Arabica Coffee,2
Agave,Atlantic Mackerel,2
Agave,Striped Bass,2
Agave,Buffalo,2
Agave,Mule Deer,2
Agave,Greenland Halibut,2
Agave,Haddock,2
Agave,Pacific Rockfish,2
Agave,Rainbow Trout,2
Agave,Snapper,2
Agave,Tuna,2
Agave,Catfish,2
Agave,Vodka,2
Agave,Salt,2
Agave,Marshmallow,2
Agave,Water,2
Agave,Syrup,2
Agave,Cocoa Butter,2
Agave,Heart Of Palm,2
Agave,Hibiscus Tea,2
Agave,Evaporated Milk,2
Agave,Flour,2
Agave,Cornbread,2
Agave,Condensed Milk,2
Agave,Grapefruit Peel Oil,1
Agave,Salmon,1
Agave,Wild Cherry,1
Agave,Bergamot,1
Agave,Peanut Butter,1
Agave,Caraway,1
Agave,Apple Cider Vinegar,1
Agave,Pollock,1
Agave,Anchovy,1
Agave,Vermouth,1
Agave,Casein,1
Agave,Gelatin,1
Agave,Kefir,1
Agave,Morchella,1
Almond,Peanut,117
Almond,Cocoa,114
Almond,Potato,114
Almond,Tomato,113
Almond,Mango,110
Almond,Carrot,110
Almond,Corn,109
Almond,Guava,109
Almond,Capsicum,109
Almond,Apple,108
Almond,Apricot,108
Almond,Grape,108
Almond,Peach,108
Almond,Raspberry,108
Almond,Pecans,108
Almond,Barley,107
Almond,Cranberry,107
Almond,Strawberry,107
Almond,Peas,107
Almond,Soybean,107
Almond,Black Currant,106
Almond,Fig,106
Almond,Orange,106
Almond,Kiwifruit,105
Almond,Pineapple,105
Almond,Plum,105
Almond,Blueberry,105
Almond,Rhubarb,105
Almond,Lettuce,105
Almond,Broccoli,105
Almond,Oats,104
Almond,Rice,104
Almond,Red Currant,104
Almond,Brazil Nut,104
Almond,Hazelnut,104
Almond,Walnut,104
Almond,Pine,104
Almond,Cabbage,104
Almond,Cucumber,104
Almond,Beetroot,104
Almond,Eggplant,104
Almond,Pomegranate,104
Almond,Red Raspberry,104
Almond,Wheat,104
Almond,Avocado,103
Almond,Pear,103
Almond,Tamarind,103
Almond,Macadamia Nut,103
Almond,Sesame,103
Almond,Olive,103
Almond,Cauliflower,103
Almond,Ginkgo Nuts,103
Almond,Green zucchini,103
Almond,Banana,102
Almond,Mushroom,102
Almond,Okra,102
Almond,Brussels Sprout,102
Almond,Asparagus,102
Almond,Cashew nut,102
Almond,Chickpea,102
Almond,Pistachio,102
Almond,Cucurbita,102
Almond,Chamomile,101
Almond,Starfruit,101
Almond,Coriander,101
Almond,Dill,101
Almond,Ginger,101
Almond,Onion,101
Almond,Peppermint,101
Almond,Lentils,101
Almond,Yellow Zucchini,101
Almond,Cherry,100
Almond,Basil,100
Almond,Fennel,100
Almond,Rosemary,100
Almond,Celery,100
Almond,Coconut,99
Almond,Papaya,99
Almond,Passionfruit,99
Almond,Grapefruit,99
Almond,Garlic,99
Almond,Sage,99
Almond,Tarragon,99
Almond,Chicory,99
Almond,Cinnamon,99
Almond,Clove,99
Almond,Nutmeg,99
Almond,Oregano,99
Almond,Pepper,99
Almond,Parsnip,99
Almond,Sweet Potato,99
Almond,Chestnut,99
Almond,Dates,98
Almond,Lemon,98
Almond,Vanilla,98
Almond,Watercress,98
Almond,Anise,98
Almond,Chive,98
Almond,Endive,98
Almond,Horseradish,98
Almond,Mustard,98
Almond,Spinach,98
Almond,Litchi,97
Almond,Melon,97
Almond,Blackberry,97
Almond,Lime,97
Almond,Mandarin Orange,97
Almond,Spearmint,97
Almond,Thyme,97
Almond,Rye,97
Almond,Cardamom,97
Almond,Cumin,97
Almond,Radish,97
Almond,Turnip,97
Almond,Canola Oil,97
Almond,Carom Seed,97
Almond,Chard,97
Almond,Lotus,97
Almond,Safflower,97
Almond,French Plantain,97
Almond,Bread,96
Almond,Durian,96
Almond,Pumpkin,96
Almond,Lemon Balm,96
Almond,Saffron,96
Almond,Turmeric,96
Almond,Pak Choy,96
Almond,Lemon Grass,95
Almond,Lovage,95
Almond,Artichoke,95
Almond,Kumquat,95
Almond,Star Anise,95
Almond,Leek,95
Almond,Shallot,95
Almond,Allspice,95
Almond,Redskin Onion,95
Almond,Capers,95
Almond,Pummelo,95
Almond,Millet,95
Almond,Black Raspberry,95
Almond,Sorrel,95
Almond,Pasta,95
Almond,Biscuit,95
Almond,Bamboo Shoots,95
Almond,Groundcherry,95
Almond,Jerusalem Artichoke,95
Almond,Kale,95
Almond,Chanterelle,95
Almond,Jackfruit,94
Almond,Cornmint,94
Almond,Mint,94
Almond,Cherry Tomato,94
Almond,Sorghum,94
Almond,Welsh Onion,94
Almond,Hard Wheat,94
Almond,Rapini,94
Almond,Chia,94
Almond,Quinoa,94
Almond,Spelt,94
Almond,Shiitake,94
Almond,Enokitake,94
Almond,Oyster Mushroom,94
Almond,Maitake,94
Almond,Red Algae,94
Almond,Kombu,94
Almond,Mixed Nuts,94
Almond,Kelp,93
Almond,Wasabi,93
Almond,Swamp Cabbage,93
Almond,Mexican Oregano,93
Almond,Mulberry,93
Almond,Winter Savory,93
Almond,Longan,93
Almond,Rambutan,93
Almond,Abalone,93
Almond,Acorn,93
Almond,Agar,93
Almond,Atlantic Herring,93
Almond,Butternut Squash,93
Almond,Cardoon,93
Almond,Corn Salad,93
Almond,Catjang Pea,93
Almond,Squashberry,93
Almond,Pili Nut,93
Almond,Prairie Turnip,93
Almond,Spirulina,93
Almond,Taro,93
Almond,Wild Rice,93
Almond,Purple Laver,93
Almond,Cloud Ear Fungus,93
Almond,Agave,93
Almond,Ginseng,92
Almond,Red Rice,92
Almond,Pineappple Sage,92
Almond,Sourdough,92
Almond,Greenthread Tea,92
Almond,Beer,59
Almond,Coffee,54
Almond,Wine,43
Almond,Sherry,33
Almond,White Wine,29
Almond,Rum,28
Almond,Butter,26
Almond,Cheddar Cheese,26
Almond,Swiss Cheese,26
Almond,Red Wine,25
Almond,Gruyere Cheese,25
Almond,Milk,25
Almond,Cheese,24
Almond,Blue Cheese,24
Almond,Filbert,24
Almond,Provolone Cheese,23
Almond,Rose Wine,22
Almond,Parmesan Cheese,22
Almond,Pork,22
Almond,Vinegar,22
Almond,Whisky,21
Almond,Champagne,21
Almond,Malt,21
Almond,Camembert Cheese,21
Almond,Comte Cheese,21
Almond,Cottage Cheese,21
Almond,Cream Cheese,21
Almond,Chicken,21
Almond,Egg,20
Almond,Domiati Cheese,20
Almond,Emmental Cheese,20
Almond,Feta Cheese,20
Almond,Goat Cheese,20
Almond,Limburger Cheese,20
Almond,Mozzarella Cheese,20
Almond,Munster Cheese,20
Almond,Romano Cheese,20
Almond,Roquefort Cheese,20
Almond,Russian Cheese,20
Almond,Sheep Cheese,20
Almond,Clam,16
Almond,Shrimp,16
Almond,Beef,16
Almond,Honey,16
Almond,Hot Chocolate,15
Almond,Popcorn,14
Almond,Clary Sage,14
Almond,Crab,14
Almond,Scallop,13
Almond,Meat,13
Almond,Crayfish,12
Almond,Liqourice,12
Almond,Chocolate,12
Almond,Mate,11
Almond,Corn Oil,11
Almond,Brandy,10
Almond,Yogurt,10
Almond,Citrus Peel Oil,10
Almond,Squid,10
Almond,Soya sauce,10
Almond,Ricotta Cheese,10
Almond,Sweetcorn,9
Almond,Citronella,9
Almond,Oyster,9
Almond,Spirit,9
Almond,Cider,8
Almond,Sake,8
Almond,Black Tea,8
Almond,Drumstick Leaf,8
Almond,Tofu,8
Almond,Soy Milk,8
Almond,Gin,7
Almond,Lavendar,7
Almond,Turkey,7
Almond,Apple Cider Vinegar,7
Almond,Miso,7
Almond,Eucalyptus,6
Almond,Rose,6
Almond,Truffle,6
Almond,Basmati Rice,6
Almond,Green Tea,5
Almond,Buttermilk,5
Almond,Mentha Oil,5
Almond,Orange Oil,5
Almond,Lobster,5
Almond,Codfish,5
Almond,Bitter Orange,5
Almond,Raisin,5
Almond,Myrtle,5
Almond,Mace,5
Almond,Turkey Berry,5
Almond,Greylag Goose,5
Almond,Rabbit,5
Almond,Cream,5
Almond,Sugar,5
Almond,Semolina,5
Almond,Ketchup,5
Almond,Soy Yogurt,5
Almond,Jasmine,4
Almond,Currant,4
Almond,White Currant,4
Almond,Tangerine,4
Almond,White Pepper,4
Almond,Arabica Coffee,4
Almond,Bison,4
Almond,Greenland Halibut,4
Almond,Haddock,4
Almond,Rainbow Trout,4
Almond,Deer,4
Almond,Catfish,4
Almond,Vodka,4
Almond,Salt,4
Almond,Water,4
Almond,Syrup,4
Almond,Cocoa Butter,4
Almond,Tortilla Chip,4
Almond,Cooking Oil,4
Almond,Focaccia,4
Almond,Corn Grits,4
Almond,Lemon Peel Oil,3
Almond,Mandarin Orange Peel Oil,3
Almond,Plumcot,3
Almond,Peanut Oil,3
Almond,Wild Boar,3
Almond,Buffalo,3
Almond,Mallard Duck,3
Almond,Pacific Rockfish,3
Almond,European Rabbit,3
Almond,Sardine,3
Almond,Tuna,3
Almond,Pollock,3
Almond,Quail,3
Almond,Anchovy,3
Almond,Vermouth,3
Almond,Casein,3
Almond,Marshmallow,3
Almond,Gelatin,3
Almond,Kefir,3
Almond,Bulgur,3
Almond,Flour,3
Almond,Lime Peel Oil,2
Almond,Red Sage,2
Almond,Lamb,2
Almond,Nuts,2
Almond,Peanut Butter,2
Almond,Caraway,2
Almond,Cherry Pepper,2
Almond,Atlantic Mackerel,2
Almond,Striped Bass,2
Almond,Mule Deer,2
Almond,Snapper,2
Almond,Heart Of Palm,2
Almond,Hibiscus Tea,2
Almond,Morchella,2
Almond,Evaporated Milk,2
Almond,Cornbread,2
Almond,Condensed Milk,2
Almond,Grapefruit Peel Oil,1
Almond,Salmon,1
Almond,Wild Cherry,1
Almond,Bergamot,1
Almond,Ham,1
Almond,Anise Hyssop,1
Anchovy,Bread,3
Anchovy,Beer,3
Anchovy,Gin,3
Anchovy,Rum,3
Anchovy,Whisky,3
Anchovy,Wine,3
Anchovy,Sherry,3
Anchovy,Coffee,3
Anchovy,Barley,3
Anchovy,Oats,3
Anchovy,Rice,3
Anchovy,Corn,3
Anchovy,Butter,3
Anchovy,Buttermilk,3
Anchovy,Cheese,3
Anchovy,Milk,3
Anchovy,Yogurt,3
Anchovy,Crab,3
Anchovy,Crayfish,3
Anchovy,Lobster,3
Anchovy,Oyster,3
Anchovy,Shrimp,3
Anchovy,Codfish,3
Anchovy,Artichoke,3
Anchovy,Apple,3
Anchovy,Apricot,3
Anchovy,Avocado,3
Anchovy,Banana,3
Anchovy,Coconut,3
Anchovy,Black Currant,3
Anchovy,Red Currant,3
Anchovy,Dates,3
Anchovy,Fig,3
Anchovy,Grape,3
Anchovy,Guava,3
Anchovy,Kiwifruit,3
Anchovy,Litchi,3
Anchovy,Mango,3
Anchovy,Melon,3
Anchovy,Orange,3
Anchovy,Papaya,3
Anchovy,Passionfruit,3
Anchovy,Peach,3
Anchovy,Pear,3
Anchovy,Pineapple,3
Anchovy,Plum,3
Anchovy,Pumpkin,3
Anchovy,Starfruit,3
Anchovy,Tamarind,3
Anchovy,Cranberry,3
Anchovy,Raspberry,3
Anchovy,Strawberry,3
Anchovy,Grapefruit,3
Anchovy,Kumquat,3
Anchovy,Lemon,3
Anchovy,Lime,3
Anchovy,Mandarin Orange,3
Anchovy,Mushroom,3
Anchovy,Coriander,3
Anchovy,Dill,3
Anchovy,Fennel,3
Anchovy,Garlic,3
Anchovy,Liqourice,3
Anchovy,Rhubarb,3
Anchovy,Beef,3
Anchovy,Chicken,3
Anchovy,Pork,3
Anchovy,Turkey,3
Anchovy,Almond,3
Anchovy,Brazil Nut,3
Anchovy,Peanut,3
Anchovy,Peas,3
Anchovy,Soybean,3
Anchovy,Soya sauce,3
Anchovy,Hazelnut,3
Anchovy,Pecans,3
Anchovy,Walnut,3
Anchovy,Sesame,3
Anchovy,Chicory,3
Anchovy,Olive,3
Anchovy,Pine,3
Anchovy,Tea,3
Anchovy,Watercress,3
Anchovy,Honey,3
Anchovy,Rye,3
Anchovy,Vinegar,3
Anchovy,Celery,3
Anchovy,Cinnamon,3
Anchovy,Ginger,3
Anchovy,Nutmeg,3
Anchovy,Pepper,3
Anchovy,Chive,3
Anchovy,Endive,3
Anchovy,Leek,3
Anchovy,Lettuce,3
Anchovy,Okra,3
Anchovy,Broccoli,3
Anchovy,Brussels Sprout,3
Anchovy,Cabbage,3
Anchovy,Cauliflower,3
Anchovy,Horseradish,3
Anchovy,Mustard,3
Anchovy,Radish,3
Anchovy,Turnip,3
Anchovy,Capsicum,3
Anchovy,Tomato,3
Anchovy,Cucumber,3
Anchovy,Beetroot,3
Anchovy,Carrot,3
Anchovy,Parsnip,3
Anchovy,Sweet Potato,3
Anchovy,Asparagus,3
Anchovy,Potato,3
Anchovy,Chard,3
Anchovy,Eggplant,3
Anchovy,Pomegranate,3
Anchovy,Spinach,3
Anchovy,Redskin Onion,3
Anchovy,Cashew nut,3
Anchovy,Safflower,3
Anchovy,Chestnut,3
Anchovy,Chickpea,3
Anchovy,Lentils,3
Anchovy,Millet,3
Anchovy,Pistachio,3
Anchovy,Sorrel,3
Anchovy,Wheat,3
Anchovy,Pak Choy,3
Anchovy,Pasta,3
Anchovy,Biscuit,3
Anchovy,Spirit,3
Anchovy,Bamboo Shoots,3
Anchovy,Greylag Goose,3
Anchovy,Greenland Halibut,3
Anchovy,Groundcherry,3
Anchovy,Haddock,3
Anchovy,Jerusalem Artichoke,3
Anchovy,Kale,3
Anchovy,French Plantain,3
Anchovy,Rainbow Trout,3
Anchovy,Pollock,3
Anchovy,Rabbit,3
Anchovy,Chanterelle,3
Anchovy,Red Algae,3
Anchovy,Kombu,3
Anchovy,Catfish,3
Anchovy,Vodka,3
Anchovy,Vermouth,3
Anchovy,Salt,3
Anchovy,Cream,3
Anchovy,Sugar,3
Anchovy,Casein,3
Anchovy,Gelatin,3
Anchovy,Water,3
Anchovy,Syrup,3
Anchovy,Cocoa Butter,3
Anchovy,Chocolate,3
Anchovy,Hot Chocolate,3
Anchovy,Kefir,3
Anchovy,Miso,3
Anchovy,Tofu,3
Anchovy,Soy Milk,3
Anchovy,Semolina,3
Anchovy,Ketchup,3
Anchovy,Green zucchini,3
Anchovy,Yellow Zucchini,3
Anchovy,Cucurbita,3
Anchovy,Sake,2
Anchovy,Popcorn,2
Anchovy,Scallop,2
Anchovy,Jackfruit,2
Anchovy,Basil,2
Anchovy,Cornmint,2
Anchovy,Rosemary,2
Anchovy,Cocoa,2
Anchovy,Macadamia Nut,2
Anchovy,Cardamom,2
Anchovy,Clove,2
Anchovy,Oregano,2
Anchovy,Canola Oil,2
Anchovy,Sorghum,2
Anchovy,Bison,2
Anchovy,Rapini,2
Anchovy,Buffalo,2
Anchovy,Chia,2
Anchovy,Pacific Rockfish,2
Anchovy,Quinoa,2
Anchovy,Spelt,2
Anchovy,Tuna,2
Anchovy,Deer,2
Anchovy,Shiitake,2
Anchovy,Enokitake,2
Anchovy,Oyster Mushroom,2
Anchovy,Maitake,2
Anchovy,Marshmallow,2
Anchovy,Tortilla Chip,2
Anchovy,Mixed Nuts,2
Anchovy,Cooking Oil,2
Anchovy,Flour,2
Anchovy,Focaccia,2
Anchovy,Corn Grits,2
Anchovy,Brandy,1
Anchovy,Champagne,1
Anchovy,Red Wine,1
Anchovy,Rose Wine,1
Anchovy,White Wine,1
Anchovy,Malt,1
Anchovy,Corn Oil,1
Anchovy,Blue Cheese,1
Anchovy,Camembert Cheese,1
Anchovy,Cheddar Cheese,1
Anchovy,Comte Cheese,1
Anchovy,Cottage Cheese,1
Anchovy,Cream Cheese,1
Anchovy,Domiati Cheese,1
Anchovy,Emmental Cheese,1
Anchovy,Feta Cheese,1
Anchovy,Goat Cheese,1
Anchovy,Gruyere Cheese,1
Anchovy,Limburger Cheese,1
Anchovy,Mozzarella Cheese,1
Anchovy,Munster Cheese,1
Anchovy,Parmesan Cheese,1
Anchovy,Provolone Cheese,1
Anchovy,Romano Cheese,1
Anchovy,Roquefort Cheese,1
Anchovy,Russian Cheese,1
Anchovy,Sheep Cheese,1
Anchovy,Swiss Cheese,1
Anchovy,Chamomile,1
Anchovy,Lemon Grass,1
Anchovy,Lovage,1
Anchovy,Mandarin Orange Peel Oil,1
Anchovy,Kelp,1
Anchovy,Squid,1
Anchovy,Durian,1
Anchovy,Blackberry,1
Anchovy,Blueberry,1
Anchovy,Cherry,1
Anchovy,Vanilla,1
Anchovy,Lemon Balm,1
Anchovy,Mint,1
Anchovy,Sage,1
Anchovy,Spearmint,1
Anchovy,Tarragon,1
Anchovy,Thyme,1
Anchovy,Meat,1
Anchovy,Anise,1
Anchovy,Star Anise,1
Anchovy,Cumin,1
Anchovy,Saffron,1
Anchovy,Turmeric,1
Anchovy,Onion,1
Anchovy,Shallot,1
Anchovy,Peppermint,1
Anchovy,Wasabi,1
Anchovy,Allspice,1
Anchovy,Carom Seed,1
Anchovy,Lotus,1
Anchovy,Capers,1
Anchovy,Pummelo,1
Anchovy,Swamp Cabbage,1
Anchovy,Mexican Oregano,1
Anchovy,Mulberry,1
Anchovy,Red Raspberry,1
Anchovy,Black Raspberry,1
Anchovy,Winter Savory,1
Anchovy,Cherry Tomato,1
Anchovy,Ginseng,1
Anchovy,Longan,1
Anchovy,Rambutan,1
Anchovy,Red Rice,1
Anchovy,Welsh Onion,1
Anchovy,Hard Wheat,1
Anchovy,Pineappple Sage,1
Anchovy,Sourdough,1
Anchovy,Abalone,1
Anchovy,Acorn,1
Anchovy,Agar,1
Anchovy,Atlantic Herring,1
Anchovy,Atlantic Mackerel,1
Anchovy,Striped Bass,1
Anchovy,Wild Boar,1
Anchovy,Butternut Squash,1
Anchovy,Cardoon,1
Anchovy,Corn Salad,1
Anchovy,Catjang Pea,1
Anchovy,Squashberry,1
Anchovy,Mule Deer,1
Anchovy,Mallard Duck,1
Anchovy,Ginkgo Nuts,1
Anchovy,Pili Nut,1
Anchovy,Prairie Turnip,1
Anchovy,European Rabbit,1
Anchovy,Sardine,1
Anchovy,Snapper,1
Anchovy,Spirulina,1
Anchovy,Taro,1
Anchovy,Wild Rice,1
Anchovy,Quail,1
Anchovy,Purple Laver,1
Anchovy,Cloud Ear Fungus,1
Anchovy,Agave,1
Anchovy,Heart Of Palm,1
Anchovy,Hibiscus Tea,1
Anchovy,Morchella,1
Anchovy,Bulgur,1
Anchovy,Soy Yogurt,1
Anchovy,Evaporated Milk,1
Anchovy,Cornbread,1
Anchovy,Greenthread Tea,1
Anchovy,Condensed Milk,1
Apple Cider Vinegar,Black Currant,11
Apple Cider Vinegar,Cabbage,11
Apple Cider Vinegar,Beer,10
Apple Cider Vinegar,Coffee,10
Apple Cider Vinegar,Banana,10
Apple Cider Vinegar,Pineapple,10
Apple Cider Vinegar,Cherry,10
Apple Cider Vinegar,Cocoa,10
Apple Cider Vinegar,Tea,10
Apple Cider Vinegar,Wine,9
Apple Cider Vinegar,Fig,9
Apple Cider Vinegar,Grape,9
Apple Cider Vinegar,Raspberry,9
Apple Cider Vinegar,Peanut,9
Apple Cider Vinegar,Tomato,9
Apple Cider Vinegar,Corn,8
Apple Cider Vinegar,Apricot,8
Apple Cider Vinegar,Red Currant,8
Apple Cider Vinegar,Kiwifruit,8
Apple Cider Vinegar,Orange,8
Apple Cider Vinegar,Peach,8
Apple Cider Vinegar,Pear,8
Apple Cider Vinegar,Plum,8
Apple Cider Vinegar,Blueberry,8
Apple Cider Vinegar,Strawberry,8
Apple Cider Vinegar,Pecans,8
Apple Cider Vinegar,Olive,8
Apple Cider Vinegar,Brussels Sprout,8
Apple Cider Vinegar,Cauliflower,8
Apple Cider Vinegar,Capsicum,8
Apple Cider Vinegar,Cucumber,8
Apple Cider Vinegar,Carrot,8
Apple Cider Vinegar,Red Raspberry,8
Apple Cider Vinegar,Avocado,7
Apple Cider Vinegar,Mango,7
Apple Cider Vinegar,Cranberry,7
Apple Cider Vinegar,Rhubarb,7
Apple Cider Vinegar,Almond,7
Apple Cider Vinegar,Brazil Nut,7
Apple Cider Vinegar,Peas,7
Apple Cider Vinegar,Hazelnut,7
Apple Cider Vinegar,Macadamia Nut,7
Apple Cider Vinegar,Walnut,7
